"August Ash Configuration","August Ash Configuration"
"August Ash Extensions","August Ash Extensions"
"Bing Site Verification","Bing Site Verification"
"Enter the verification code that will be used as a <code>meta</code> tag.","Enter the verification code that will be used as a <code>meta</code> tag."
"General","General"
"Google Site Verification","Google Site Verification"
"Hide Customer Account Links","Hide Customer Account Links"
"Site Verifications","Site Verifications"
"The selected links will be hidden from the customer account navigation menu.","The selected links will be hidden from the customer account navigation menu."
